Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),Latest volume,Latest digital volume,Latest cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
"Department for Culture, Media and Sport",DCMS,Ofcom,,Apply for a ship radio licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Apply for an Local Digital Television Programme Service (L-DTPS) Licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Apply for analogue commercial radio licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Apply for community radio licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Apply for long-term restricted service (radio) licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Apply for short-term restricted service (radio) licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Apply for Transportable Earth Station (TES) Clearances,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Applying for a Local Multiplex Licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Audio Distribution Systems RSL (ADS-SRL) application,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Change or add services to an Audio Distribution Systems RSL licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Digital Television Programme Service licence (DTPS) & Digital Television Additional Service licence (DTAS) Application,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Ground Probing Radar Licence Application Form,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Ground Probing Radar Notification Of Usage Near Radio Astronomy Sites,,,,,,,,,,,,,,,,,,,,,,Providing information,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Pay for licences,,,,,,,,,,,,,,,,,,,,,,Making a payment,https://secure.ofcom.org.uk/payments/,,,,Business,Fees and charges
"Department for Culture, Media and Sport",DCMS,Ofcom,,Request changes to a Business Radio licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Sport England,,Sport England: grants,,,,,,,,,,,,,,,,,,,,,,"Requesting benefits, payments or loans",http://www.sportengland.org/funding.aspx,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Visit England,,Visit England quality assurance scheme,,,,,,,,,,,,,,,,,,,,,,Registering,http://www.visitengland.org/busdev/accreditation/qascheme/benefits.aspx,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Coal Authority,,Licence Applications,100,,,,,,154,8,,236,0,,247,,,,0,,247,,,Requesting a licence or consent,http://coal.decc.gov.uk/en/coal/cms/services/permits/permits.aspx,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Coal Authority,,Mining reports,245000,232750,,,,,251000,248490,,298300,250740,,309200,263150,,325036,280522,,325036,280522,,Requesting information,http://coal.decc.gov.uk/en/coal/cms/services/reports/sample_reports/sample_reports.aspx,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Coal Authority,,Permits,800,,,,,,983,,,1084,1084,,1149,,,1179,,,1179,,,Requesting a licence or consent,http://coal.decc.gov.uk/en/coal/cms/services/permits/permits.aspx,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Coal Authority,,Statutory Development Plan Consultation,,,,500,490,,500,,,308,,,305,,,,,,305,,,,,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Coal Authority,,Statutory Planning Application Consultation,3500,,,5000,4900,,5000,,,4869,,,5087,,,,,,5087,,,Requesting a licence or consent,http://coal.decc.gov.uk/en/coal/cms/services/permits/permits.aspx,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Applications made under the Well Operation Notifications System,,,,395,,,502,,,507,,,511,,,495,,,495,,,,,,,,Business,
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Consents and notifications issued under the Well Operation Notifications System,316,,,316,316,,1082,,,1110,,,1114,,,1055,,,1055,,,Requesting a licence or consent,https://www.og.decc.gov.uk/portal.htm,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,CRC Energy Efficiency Scheme,,,,,,,6400,,,6400,,,9161,,,11015,,,11015,,,Providing information,https://www.gov.uk/crc-energy-efficiency-scheme-qualification-and-registration,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Decommissioning Liability Section 29 Notices,1500,,,1500,1370,,1304,,,1569,,,1640,,,1421,,,1421,,,Providing information,https://www.og.decc.gov.uk/portal.htm,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Energy Act Part 4A Applications,187,,,209,,,209,0,,433,,,141,,,262,,,262,,,Requesting a licence or consent,,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Energy Saving Advice Service (ESAS),,,,109038,,,,,,222759,,,263443,,,300452,0,,300452,0,,Requesting information,http://www.energysavingtrust.org.uk/Organisations/Government-and-local-programmes/Energy-Saving-Advice-Service,,,,Individuals,
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Environmental directions under the Offshore Petroleum Production and Pipe-lines (Assessment of Environmental Effects) Regulations 1999 (as amended),483,,,,,,1757,,,1799,,,1698,,,1567,,,1567,,,Requesting a licence or consent,https://www.og.decc.gov.uk/portal.htm,,,,Business,Fees and charges
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Environmental Management Systems Annual Public Statements (EMS Public Statements),,,,,,,,,,0,,,55,,,55,,,55,,,,,,,,Business,
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Environmental Management Systems verification reports (EMS),,,,,,,,,,3,,,22,,,19,,,19,,,,,All operators controlling the operation of offshore installations on the UKCS should have in place an Environmental Management System (EMS). One of the requirements is to ensure that all EMS systems in place are subject to independent verification. The number above reflects those operators who have provided DECC with their verification report for review / approval which is required every 2 to 3 years.,,,Business,
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Environmental Statements (EIA Regulations),24,,,,,,28,,,21,,,11,,,8,,,8,,,Providing information,,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,EU Emissions Trading System (ETS) applications,357,,,,,,1853,,,330,,,768,,,266,266,,266,266,,Requesting a licence or consent,,Use of Emissions Trading Scheme Workflow Automation Project (ETSWAP) - an online application that EU ETS operators use to submit applications to their regulators,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,EU Emissions Trading System (ETS) auction platform,,,,,,,163,,,219,,,227,,,943,,,943,,,Requesting a licence or consent,,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,EU Emissions Trading System (EU-ETS) NCFs,,,,,,,,,,0,,,0,,,0,,,0,,,,,"EU-ETS non-compliance notification forms (NCFs) are submitted by operators to DECC when they have identified that there has been a breach of their EU ETS permit application. This is as per one of the conditions of the permit, which has been issued under The Greenhouse Gas Emissions Trading Scheme Regulations 2005.",,,Business,
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,"Field production, flaring and venting consents",420,,,732,732,,768,,,791,,,786,,,785,,,785,,,Requesting a licence or consent,https://www.og.decc.gov.uk/portal.htm,,,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Fluorinated Greenhouse Gas (F-Gas) / Ozone depleting substances (ODS) NCFs,,,,,,,,,,0,,,1,,,3,,,3,,,,,F-Gas/ODS Annex C non-compliance notification forms (NCFs) are submitted by operators to DECC when they have identified that they had a release of over 1000 tonnes CO2 equivalent of fluorinated gas or ozone-depleting substances from any of their systems containing such substances. This is as per the UK guidance on the Fluorinated Greenhouse Gases Regulations 2009 (F-Gas) and Environmental Protection (Controls on Ozone-Depleting Substances) Regulations 2011.,,,Business,
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Green Deal Register: adviser registrations,,,,,,,,,,,,,2517,2517,,2813,,,2813,,,Registering,,"Service for users to register as Green Deal advisers, enabling them to conduct Green Deal assessments.",,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Green Deal Register: provider registrations,,,,,,,,,,,,,107,107,,105,,,105,,,Registering,,"Service for users to register as approved Green Deal installers/providers, allowing them to install measures that qualify for the Green Deal scheme.",,,Business,Taxpayers
Department of Energy and Climate Change,DECC,Department of Energy and Climate Change,DECC,Green Deal: cashback applications,,,,,,,,,,,,,8283,8283,,,,,8283,8283,,"Requesting benefits, payments or loans",,Service allowing users to apply for cashback after installing Green Deal measures.,,,Individuals,Taxpayers
